Date Time,Week,Net Peaking Capability (MW),Peak Load (MW),Operating Reserve (MW),Low Consumption,High Consumption
20190101,2,26429,23872,2557.3,0,1
20190102,3,30047,28148,1899.5,0,1
20190103,4,30343,28452,1891.6,0,1
20190104,5,30301,28490,1811.1,0,1
20190105,6,27957,26054,1902.7,0,1
20190106,7,26950,24617,2332.7,1,0
20190107,1,30336,28536,1799.3,1,0
20190108,2,30562,28719,1843.3,0,1
20190109,3,30595,28641,1953.7,0,1
20190110,4,30853,29006,1847.3,0,1
20190111,5,30682,28798,1883.4,0,1
20190112,6,28402,25905,2496.6,0,1
20190113,7,27027,24629,2397.6,1,0
20190114,1,30093,28348,1745.4,1,0
20190115,2,30731,28887,1844.1,0,1
20190116,3,30498,28649,1848.8,0,1
20190117,4,30328,28395,1932.7,0,1
20190118,5,29691,27756,1935.9,0,1
20190119,6,28431,26477,1953.9,0,1
20190120,7,27138,24539,2598.7,1,0
20190121,1,29654,27739,1914.7,1,0
20190122,2,30061,28140,1921.4,0,1
20190123,3,29776,27838,1938.8,0,1
20190124,4,29735,27863,1872.3,0,1
20190125,5,29202,27296,1905.3,0,1
20190126,6,27817,25282,2534.9,0,1
20190127,7,26506,24414,2091.6,1,0
20190128,1,29363,27557,1805.7,1,0
20190212,2,29628,27768,1860,0,1
20190213,3,29614,27699,1914.9,0,1
20190214,4,30193,28250,1943.5,0,1
20190215,5,30221,28262,1959.8,0,1
20190216,6,27858,25432,2426.5,0,1
20190217,7,27016,24343,2673.2,1,0
20190218,1,30407,28645,1761.8,1,0
20190219,2,30767,28876,1891.6,0,1
20190220,3,30916,29078,1838,0,1
20190221,4,30725,28912,1812.5,0,1
20190222,5,30290,28420,1870.1,0,1
20190223,6,28452,26723,1728.5,0,1
20190224,7,26464,24694,1770,1,0
20190225,1,29838,28084,1753.8,1,0
20190226,2,30208,28390,1817.6,0,1
20190227,3,29916,28013,1902.8,0,1
20190228,4,27902,25472,2430.2,0,1
20190301,5,27060,24689,2371.2,0,1
20190302,6,26567,24734,1832.5,0,1
20190303,7,26326,24102,2224.3,1,0
20190304,1,29583,27688,1894.5,1,0
20190305,2,30195,28241,1953.7,0,1
20190306,3,29954,28032,1922.3,0,1
20190307,4,30015,28147,1867.7,0,1
20190308,5,29767,27951,1816.1,0,1
20190309,6,28061,25870,2191.5,0,1
20190310,7,26624,24801,1823.1,1,0
20190311,1,29524,27730,1793.8,1,0
20190312,2,29815,27936,1879.2,0,1
20190313,3,30068,28145,1922.6,0,1
20190314,4,30197,28417,1779.9,0,1
20190315,5,29685,27757,1928.4,0,1
20190316,6,27836,25318,2518.5,0,1
20190317,7,26971,24681,2290.2,1,0
20190318,1,30093,28338,1755.1,1,0
20190319,2,30687,28882,1804.8,0,1
20190320,3,31489,29645,1843.7,0,1
20190321,4,32310,30343,1967.3,0,1
20190322,5,31959,29618,2341.2,0,1
20190323,6,27349,25265,2084.2,0,1
20190324,7,26671,24812,1859.3,1,0
20190325,1,30388,28535,1852.6,1,0
20190326,2,30643,28756,1886.6,0,1
20190327,3,31073,29140,1933.1,0,1
20190328,4,31985,30093,1892,0,1
20190329,5,31728,29673,2054.4,0,1
20190330,6,27965,25810,2155.6,0,1
20190331,7,26763,24466,2297.5,1,0
20190401,1,29772,27842,1930,1,0
20190402,2,30275,28359,1915.4,0,1
20190403,3,30387,28483,1904.8,0,1
20190404,4,28003,25663,2339.7,0,1
20190405,5,26414,24542,1872.3,0,1
20190406,6,26649,24966,1683.3,0,1
20190407,7,27018,25240,1778,1,0
20190408,1,32368,30399,1969.2,1,0
20190409,2,33496,31532,1963.7,0,1
20190410,3,33863,31709,2153.7,0,1
20190411,4,32620,30541,2078.7,0,1
20190412,5,31053,29035,2017.7,0,1
20190413,6,28206,26446,1760.1,0,1
20190414,7,28065,25537,2527.6,1,0
20190415,1,30735,28749,1986.2,1,0
20190416,2,30894,29017,1877.3,0,1
20190417,3,31615,29565,2049.8,0,1
20190418,4,32338,30335,2003.5,0,1
20190419,5,32668,30748,1920,0,1
20190420,6,28787,26910,1877.5,0,1
20190421,7,28604,26306,2298,1,0
20190422,1,33948,31955,1993.2,1,0
20190423,2,35207,33181,2026.4,0,1
20190424,3,35266,33263,2003.1,0,1
20190425,4,35424,33134,2289.7,0,1
20190426,5,34916,32664,2252,0,1
20190427,6,29369,27376,1993.4,0,1
20190428,7,28688,26948,1740,1,0
20190429,1,35058,32847,2211,1,0
20190430,2,35309,33099,2210.6,0,1
20190501,3,29919,26826,3093.4,0,1
20190502,4,31373,28690,2682.9,0,1
20190503,5,31631,28315,3316.1,0,1
20190504,6,28938,25819,3119.2,0,1
20190505,7,27591,25336,2255.4,1,0
20190506,1,31019,28615,2404.2,1,0
20190507,2,31081,28472,2609,0,1
20190508,3,31108,28968,2139.6,0,1
20190509,4,31441,29229,2212.3,0,1
20190510,5,32179,29571,2608.3,0,1
20190511,6,29413,26576,2837,0,1
20190512,7,29193,26484,2708.7,1,0
20190513,1,34446,32135,2311.3,1,0
20190514,2,35275,33144,2130.7,0,1
20190515,3,35149,32896,2253.1,0,1
20190516,4,35739,33307,2431.8,0,1
20190517,5,34862,32316,2546.3,0,1
20190518,6,32114,29523,2591.2,0,1
20190519,7,31104,28977,2126.8,1,0
20190520,1,35560,32213,3347.3,1,0
20190521,2,33865,29978,3887.3,0,1
20190522,3,34704,30150,4554.4,0,1
20190523,4,35142,30430,4711.5,0,1
20190524,5,35123,31548,3574.8,0,1
20190525,6,31794,27810,3984.4,0,1
20190526,7,31694,27905,3788.3,1,0
20190527,1,35227,32521,2705.9,1,0
20190528,2,35411,32242,3169.3,0,1
20190529,3,36224,30319,5904.9,0,1
20190530,4,36483,32116,4367,0,1
20190531,5,37486,32971,4514.5,0,1
20190601,6,32902,28860,4042.6,0,1
20190602,7,32488,28856,3632.2,1,0
20190603,1,37498,32958,4540.2,1,0
20190604,2,36955,32409,4546,0,1
20190605,3,37945,33916,4029,0,1
20190606,4,38674,34889,3784.6,0,1
20190607,5,34770,30068,4702.6,0,1
20190608,6,32858,29548,3309.9,0,1
20190609,7,33490,29408,4082.6,1,0
20190610,1,37502,33355,4147.2,1,0
20190611,2,36341,32126,4215.7,0,1
20190612,3,36513,31095,5418.1,0,1
20190613,4,35273,31680,3593,0,1
20190614,5,35772,30877,4895.4,0,1
20190615,6,33122,27686,5435.2,0,1
20190616,7,32635,27673,4962,1,0
20190617,1,37468,33703,3764.9,1,0
20190618,2,37996,34739,3256.8,0,1
20190619,3,39258,35601,3657.3,0,1
20190620,4,39662,35959,3702.8,0,1
20190621,5,40008,35928,4080.2,0,1
20190622,6,35113,30923,4189.9,0,1
20190623,7,33049,28305,4743.9,1,0
20190624,1,37104,31688,5416.6,1,0
20190625,2,36804,33290,3514,0,1
20190626,3,36928,32816,4112.3,0,1
20190627,4,37640,33465,4175.2,0,1
20190628,5,38530,34963,3567.5,0,1
20190629,6,34155,30553,3601.8,0,1
20190630,7,33522,30083,3438.9,1,0
20190701,1,38849,35215,3634.3,1,0
20190702,2,39935,35052,4883.4,0,1
20190703,3,38706,33953,4752.9,0,1
20190704,4,39052,34157,4894.6,0,1
20190705,5,39567,33853,5713.7,0,1
20190706,6,34449,30014,4435.2,0,1
20190707,7,34278,29965,4313.2,1,0
20190708,1,39621,35166,4454.8,1,0
20190709,2,39052,34886,4166,0,1
20190710,3,39164,35267,3896.9,0,1
20190711,4,38719,34564,4154.6,0,1
20190712,5,39970,35638,4332.2,0,1
20190713,6,36491,31353,5138.2,0,1
20190714,7,34198,30941,3257,1,0
20190715,1,39898,36261,3636.8,1,0
20190716,2,40150,36926,3223.9,0,1
20190717,3,41153,37383,3769.5,0,1
20190718,4,40002,35922,4079.6,0,1
20190719,5,39994,35484,4510.4,0,1
20190720,6,36836,30618,6218.1,0,1
20190721,7,34994,29604,5389.4,1,0
20190722,1,40246,34488,5758.6,1,0
20190723,2,39770,35004,4766,0,1
20190724,3,40609,35571,5037.5,0,1
20190725,4,40591,35955,4636.1,0,1
20190726,5,40420,36523,3897.4,0,1
20190727,6,36553,31207,5346.1,0,1
20190728,7,35368,29654,5713.8,1,0
20190729,1,40478,35554,4923.8,1,0
20190730,2,40714,36647,4066.7,0,1
20190731,3,40536,36807,3728.8,0,1
20190801,4,40524,36482,4042.1,0,1
20190802,5,40810,35775,5035.6,0,1
20190803,6,36920,31045,5874.5,0,1
20190804,7,35151,31333,3817.2,1,0
20190805,1,40649,36721,3927.7,1,0
20190806,2,41157,36386,4771.1,0,1
20190807,3,40786,36067,4718.8,0,1
20190808,4,40648,36331,4316.9,0,1
20190809,5,37717,30740,6977.2,0,1
20190810,6,36049,31478,4570.8,0,1
20190811,7,35251,31064,4187.1,1,0
20190812,1,40272,34479,5793.1,1,0
20190813,2,38658,33906,4752.1,0,1
20190814,3,40164,36100,4064.3,0,1
20190815,4,40630,34275,6354.7,0,1
20190816,5,40427,34379,6048.6,0,1
20190817,6,37079,30424,6654.8,0,1
