Date Time,Week,Operating Reserve (MW)
20190101,2,2557.3
20190102,3,1899.5
20190103,4,1891.6
20190104,5,1811.1
20190105,6,1902.7
20190106,7,2332.7
20190107,1,1799.3
20190108,2,1843.3
20190109,3,1953.7
20190110,4,1847.3
20190111,5,1883.4
20190112,6,2496.6
20190113,7,2397.6
20190114,1,1745.4
20190115,2,1844.1
20190116,3,1848.8
20190117,4,1932.7
20190118,5,1935.9
20190119,6,1953.9
20190120,7,2598.7
20190121,1,1914.7
20190122,2,1921.4
20190123,3,1938.8
20190124,4,1872.3
20190125,5,1905.3
20190126,6,2534.9
20190127,7,2091.6
20190128,1,1805.7
20190129,2,1832.3
20190130,3,1809.7
20190131,4,1889.6
20190201,5,2148
20190202,6,2240.3
20190203,7,2038.2
20190204,1,2562.9
20190205,2,2333.1
20190206,3,2322.1
20190207,4,2107.2
20190208,5,3114.5
20190209,6,3135.8
20190210,7,3023.4
20190211,1,2275.2
20190212,2,1860
20190213,3,1914.9
20190214,4,1943.5
20190215,5,1959.8
20190216,6,2426.5
20190217,7,2673.2
20190218,1,1761.8
20190219,2,1891.6
20190220,3,1838
20190221,4,1812.5
20190222,5,1870.1
20190223,6,1728.5
20190224,7,1770
20190225,1,1753.8
20190226,2,1817.6
20190227,3,1902.8
20190228,4,2430.2
20190301,5,2371.2
20190302,6,1832.5
20190303,7,2224.3
20190304,1,1894.5
20190305,2,1953.7
20190306,3,1922.3
20190307,4,1867.7
20190308,5,1816.1
20190309,6,2191.5
20190310,7,1823.1
20190311,1,1793.8
20190312,2,1879.2
20190313,3,1922.6
20190314,4,1779.9
20190315,5,1928.4
20190316,6,2518.5
20190317,7,2290.2
20190318,1,1755.1
20190319,2,1804.8
20190320,3,1843.7
20190321,4,1967.3
20190322,5,2341.2
20190323,6,2084.2
20190324,7,1859.3
20190325,1,1852.6
20190326,2,1886.6
20190327,3,1933.1
20190328,4,1892
20190329,5,2054.4
20190330,6,2155.6
20190331,7,2297.5
20190401,1,1930
20190402,2,1915.4
20190403,3,1904.8
20190404,4,2339.7
20190405,5,1872.3
20190406,6,1683.3
20190407,7,1778
20190408,1,1969.2
20190409,2,1963.7
20190410,3,2153.7
20190411,4,2078.7
20190412,5,2017.7
20190413,6,1760.1
20190414,7,2527.6
20190415,1,1986.2
20190416,2,1877.3
20190417,3,2049.8
20190418,4,2003.5
20190419,5,1920
20190420,6,1877.5
20190421,7,2298
20190422,1,1993.2
20190423,2,2026.4
20190424,3,2003.1
20190425,4,2289.7
20190426,5,2252
20190427,6,1993.4
20190428,7,1740
20190429,1,2211
20190430,2,2210.6
20190501,3,3093.4
20190502,4,2682.9
20190503,5,3316.1
20190504,6,3119.2
20190505,7,2255.4
20190506,1,2404.2
20190507,2,2609
20190508,3,2139.6
20190509,4,2212.3
20190510,5,2608.3
20190511,6,2837
20190512,7,2708.7
20190513,1,2311.3
20190514,2,2130.7
20190515,3,2253.1
20190516,4,2431.8
20190517,5,2546.3
20190518,6,2591.2
20190519,7,2126.8
20190520,1,3347.3
20190521,2,3887.3
20190522,3,4554.4
20190523,4,4711.5
20190524,5,3574.8
20190525,6,3984.4
20190526,7,3788.3
20190527,1,2705.9
20190528,2,3169.3
20190529,3,5904.9
20190530,4,4367
20190531,5,4514.5
20190601,6,4042.6
20190602,7,3632.2
20190603,1,4540.2
20190604,2,4546
20190605,3,4029
20190606,4,3784.6
20190607,5,4702.6
20190608,6,3309.9
20190609,7,4082.6
20190610,1,4147.2
20190611,2,4215.7
20190612,3,5418.1
20190613,4,3593
20190614,5,4895.4
20190615,6,5435.2
20190616,7,4962
20190617,1,3764.9
20190618,2,3256.8
20190619,3,3657.3
20190620,4,3702.8
20190621,5,4080.2
20190622,6,4189.9
20190623,7,4743.9
20190624,1,5416.6
20190625,2,3514
20190626,3,4112.3
20190627,4,4175.2
20190628,5,3567.5
20190629,6,3601.8
20190630,7,3438.9
20190701,1,3634.3
20190702,2,4883.4
20190703,3,4752.9
20190704,4,4894.6
20190705,5,5713.7
20190706,6,4435.2
20190707,7,4313.2
20190708,1,4454.8
20190709,2,4166
20190710,3,3896.9
20190711,4,4154.6
20190712,5,4332.2
20190713,6,5138.2
20190714,7,3257
20190715,1,3636.8
20190716,2,3223.9
20190717,3,3769.5
20190718,4,4079.6
20190719,5,4510.4
20190720,6,6218.1
20190721,7,5389.4
20190722,1,5758.6
20190723,2,4766
20190724,3,5037.5
20190725,4,4636.1
20190726,5,3897.4
20190727,6,5346.1
20190728,7,5713.8
20190729,1,4923.8
20190730,2,4066.7
20190731,3,3728.8
20190801,4,4042.1
20190802,5,5035.6
20190803,6,5874.5
20190804,7,3817.2
20190805,1,3927.7
20190806,2,4771.1
20190807,3,4718.8
20190808,4,4316.9
20190809,5,6977.2
20190810,6,4570.8
20190811,7,4187.1
20190812,1,5793.1
20190813,2,4752.1
20190814,3,4064.3
20190815,4,6354.7
20190816,5,6048.6
20190817,6,6654.8
20190818,7,6143.1
20190819,1,6376
20190820,2,6269.3
20190821,3,6430
20190822,4,4824.4
20190823,5,4868
20190824,6,6972.9
20190825,7,5461.7
20190826,1,5353.4
20190827,2,4692
20190828,3,4093.9
20190829,4,4056
20190830,5,5615.3
20190831,6,4767.096
20190901,7,4982
20190902,1,4605.7
20190903,2,4581.8
20190904,3,5419.5
20190905,4,5876.1
20190906,5,5084.6
20190907,6,4894.3
20190908,7,4192
20190909,1,4960.9
20190910,2,4148.3
20190911,3,4575.2
20190912,4,4625.5
20190913,5,4824.1
20190914,6,4394.8
20190915,7,5386.9
20190916,1,6025
20190917,2,5975.2
20190918,3,6041.6
20190919,4,6893.3
20190920,5,6345.6
20190921,6,5612.1
20190922,7,5420.7
20190923,1,6619.8
20190924,2,6616.1
20190925,3,5679.2
20190926,4,5659
20190927,5,6243.8
20190928,6,4852.2
20190929,7,4314.8
20190930,1,7656.8
20191001,2,4531.5
20191002,3,4076.6
20191003,4,3807.3
20191004,5,4420.5
20191005,6,4561.1
20191006,7,3789.2
20191007,1,3702.1
20191008,2,4351.1
20191009,3,4700.7
20191010,4,4405.5
20191011,5,4489.7
20191012,6,4741.9
20191013,7,5432.2
20191014,1,5091.2
20191015,2,5085
20191016,3,3984.3
20191017,4,4582.1
20191018,5,4810
20191019,6,4787.6
20191020,7,4420.1
20191021,1,4273.7
20191022,2,3803
20191023,3,3778.9
20191024,4,3829
20191025,5,4119.8
20191026,6,3101.5
20191027,7,2762.1
20191028,1,4052.4
20191029,2,4616.2
20191030,3,3665.7
20191031,4,3638.7
20191101,5,3930.6
20191102,6,3378.2
20191103,7,3420.4
20191104,1,3455.3
20191105,2,3768.7
20191106,3,3343.4
20191107,4,3751.8
20191108,5,4740.2
20191109,6,3709.4
20191110,7,3032.9
20191111,1,3607
20191112,2,3591.9
20191113,3,3299.8
20191114,4,3822.6
20191115,5,3150.6
20191116,6,3199.7
20191117,7,2589.7
20191118,1,3037
20191119,2,3337.5
20191120,3,3346.6
20191121,4,2995.8
20191122,5,2969.2
20191123,6,2694.4
20191124,7,3190.1
20191125,1,2968.5
20191126,2,3311.5
20191127,3,3565.1
20191128,4,3418.3
20191129,5,3391.999
20191130,6,3003.2
20191201,7,3424.9
20191202,1,3461.8
20191203,2,3150
20191204,3,3052.8
20191205,4,3022.6
20191206,5,3414.3
20191207,6,2900.6
20191208,7,2955.5
20191209,1,3204.5
20191210,2,3146.2
20191211,3,3202.3
20191212,4,2997.4
20191213,5,3153.5
20191214,6,3035
20191215,7,2812.4
20191216,1,3038.8
20191217,2,3189
20191218,3,3254.8
20191219,4,3107.1
20191220,5,3146
20191221,6,2815.7
20191222,7,2747.2
20191223,1,3329.4
20191224,2,3283.4
20191225,3,3606.3
20191226,4,3262.3
20191227,5,3205.9
20191228,6,3152.1
20191229,7,2899.8
20191230,1,3142.9
20191231,2,3107.4
20200101,3,2790
20200102,4,3080.4
20200103,5,3383.1
20200104,6,3636.2
20200105,7,2694.7
20200106,1,3009.3
20200107,2,3103.9
20200108,3,3235.4
20200109,4,3131.3
20200110,5,3298.2
20200111,6,3851
20200112,7,3090.8
20200113,1,3156.8
20200114,2,3412.2
20200115,3,3386.4
20200116,4,3005.2
20200117,5,3399.3
20200118,6,3159.4
20200119,7,3334.5
20200120,1,3183.1
20200121,2,3259
20200122,3,3886.7
20200123,4,3344.3
20200124,5,3482.9
